level,1
nextLevelExp,10
maxLifeStock,100
lifeStock,100
exp,0
totalExp,0
attackPower,10
damageMultiplier,1.0
attackSpeedMultiplier,1.0
durationMultiplier,1.0
projectileSpeedMultiplier,1.0
areaSizeMultiplier,1.0
movementSpeedMultiplier,1.0
baseMoveSpeed,30.0
pickupRangeMultiplier,1.0
expGainMultiplier,1.0
coinGainMultiplier,1.0
critChance,0.05
critDamageMultiplier,1.5
projectileCountBonus,0
invincibilityDuration,1.25
normalBulletInterval,0.85
normalBulletMinInterval,0.18
explosiveBulletInterval,2.0
maxLifeStockCap,200
moveSpeedUpgradeCap,5
moveSpeedUpgradeStep,3.0
moveSpeedMax,45.0
