Octopus,maxHP,100
Octopus,maxHPCap,220
Octopus,baseMoveSpeed,30.0
Octopus,damage,1.0
Octopus,attackSpeed,1.0
Octopus,duration,1.0
Octopus,movementSpeed,1.0
Octopus,projectileSpeed,1.0
Octopus,areaSize,1.0
Octopus,pickupRange,1.0
Octopus,expGain,1.0
Octopus,coinGain,1.0
Octopus,critChance,0.05
Octopus,critDamage,1.5
Octopus,armor,0.0
Octopus,evasion,0.0
Octopus,hpRegen,0.0
Octopus,lifeSteal,0.0
Octopus,projectileCount,0
Flame,maxHP,90
Flame,maxHPCap,210
Flame,baseMoveSpeed,30.0
Flame,damage,1.15
Flame,attackSpeed,1.0
Flame,duration,1.1
Flame,movementSpeed,1.0
Flame,projectileSpeed,1.0
Flame,areaSize,1.1
Flame,pickupRange,1.0
Flame,expGain,1.0
Flame,coinGain,1.0
Flame,critChance,0.05
Flame,critDamage,1.5
Flame,armor,0.0
Flame,evasion,0.0
Flame,hpRegen,0.2
Flame,lifeSteal,0.0
Flame,projectileCount,0
Blade,maxHP,110
Blade,maxHPCap,230
Blade,baseMoveSpeed,32.0
Blade,damage,1.0
Blade,attackSpeed,1.1
Blade,duration,1.0
Blade,movementSpeed,1.0
Blade,projectileSpeed,1.0
Blade,areaSize,1.0
Blade,pickupRange,1.0
Blade,expGain,1.0
Blade,coinGain,1.0
Blade,critChance,0.08
Blade,critDamage,1.6
Blade,armor,0.08
Blade,evasion,0.0
Blade,hpRegen,0.0
Blade,lifeSteal,0.03
Blade,projectileCount,0
Storm,maxHP,85
Storm,maxHPCap,205
Storm,baseMoveSpeed,33.0
Storm,damage,1.0
Storm,attackSpeed,1.15
Storm,duration,1.0
Storm,movementSpeed,1.0
Storm,projectileSpeed,1.1
Storm,areaSize,1.0
Storm,pickupRange,1.0
Storm,expGain,1.05
Storm,coinGain,1.0
Storm,critChance,0.06
Storm,critDamage,1.5
Storm,armor,0.0
Storm,evasion,0.08
Storm,hpRegen,0.0
Storm,lifeSteal,0.0
Storm,projectileCount,0
