bowArrow.lv2.pierceCount,2
bowArrow.lv3.damageBonusAdd,3
bowArrow.lv4.amount,2
bowArrow.lv5.speedMultiplier,1.25
bowArrow.lv5.scaleMultiplier,1.15
bowArrow.lv6.damageBonusAdd,4
bowArrow.lv7.amount,3
bowArrow.lv7.pierceCount,3
bowArrow.lv8.damageBonusAdd,5
bowArrow.lv8.speedMultiplier,1.2
rock.lv1.count,1
rock.lv1.hitInterval,0.5
rock.lv2.count,2
rock.lv3.speedMultiplier,1.35
rock.lv3.scaleMultiplier,1.2
rock.lv4.damageBonusAdd,3
rock.lv5.count,3
rock.lv6.speedMultiplier,1.3
rock.lv6.scaleMultiplier,1.2
rock.lv7.hitIntervalMultiplier,0.8
rock.lv8.count,4
rock.lv8.damageBonusAdd,4
thunderStaff.lv1.strikeCount,1
thunderStaff.lv1.damageBonus,0
thunderStaff.lv1.radius,6.0
thunderStaff.lv1.interval,2.4
thunderStaff.lv2.damageBonusAdd,3
thunderStaff.lv3.strikeCount,2
thunderStaff.lv4.radiusAdd,1.2
thunderStaff.lv5.damageBonusAdd,4
thunderStaff.lv6.strikeCount,3
thunderStaff.lv7.intervalMultiplier,0.82
thunderStaff.lv8.strikeCount,4
thunderStaff.lv8.radiusAdd,1.5
flameStaff.lv1.damageBonus,4
flameStaff.lv1.radius,4.2
flameStaff.lv1.interval,2.0
flameStaff.lv1.count,1
flameStaff.burstInterval,0.14
flameStaff.lv2.damageBonusAdd,3
flameStaff.lv3.radiusAdd,0.84
flameStaff.lv4.count,2
flameStaff.lv5.damageBonusAdd,4
flameStaff.lv6.radiusAdd,1.05
flameStaff.lv7.speedMultiplier,1.2
flameStaff.lv8.count,3
flameStaff.lv8.damageBonusAdd,5
sword.lv1.damageBonusAdd,0
sword.lv2.damageBonusAdd,3
sword.lv3.radiusAdd,1.0
sword.lv4.intervalMultiplier,0.88
sword.lv5.damageBonusAdd,4
sword.lv6.halfAngleAdd,0.18
sword.lv7.radiusAdd,1.5
sword.lv8.damageBonusAdd,6
aura.lv1.damageBonusAdd,0
aura.lv2.damageBonusAdd,2
aura.lv3.radiusAdd,1.0
aura.lv4.intervalMultiplier,0.88
aura.lv5.damageBonusAdd,3
aura.lv6.radiusAdd,1.5
aura.lv7.intervalMultiplier,0.85
aura.lv8.damageBonusAdd,5
flameShoes.lv1.damageBonusAdd,0
flameShoes.lv2.damageBonusAdd,2
flameShoes.lv3.radiusAdd,0.8
flameShoes.lv4.durationAdd,1.0
flameShoes.lv5.damageBonusAdd,3
flameShoes.lv6.spawnDistanceMultiplier,0.85
flameShoes.lv7.intervalMultiplier,0.85
flameShoes.lv8.damageBonusAdd,5
flameShoes.lv8.radiusAdd,1.0
bone.lv1.bounceCount,2
bone.lv2.speedMultiplier,1.2
bone.lv3.bounceCount,3
bone.lv4.damageBonusAdd,3
bone.lv5.intervalMultiplier,0.88
bone.lv6.bounceCount,4
bone.lv7.damageBonusAdd,3
bone.lv8.count,2
bone.lv8.damageBonusAdd,4
handgun.lv2.intervalMultiplier,0.85
handgun.lv3.ricochetCount,1
handgun.lv4.damageBonusAdd,3
handgun.lv5.speedMultiplier,1.2
handgun.lv6.ricochetCount,2
handgun.lv7.damageBonusAdd,3
handgun.lv8.count,2
handgun.lv8.damageBonusAdd,4
boomerang.lv1.maxHits,8
boomerang.lv2.scaleMultiplier,1.2
boomerang.lv3.maxHits,10
boomerang.lv4.damageBonusAdd,3
boomerang.lv5.intervalMultiplier,0.88
boomerang.lv6.maxHits,12
boomerang.lv7.damageBonusAdd,3
boomerang.lv8.count,2
boomerang.lv8.damageBonusAdd,4
